"Gene.ID"	"Incipient"	"Moderate"	"Severe"
2	0.993490612	0.101592649	0.726015175
9	0.145734883	0.177414106	0.471095742
10	0.197631338	0.452115155	0.257463777
12	0.075136008	0.56736289	1.012547271
13	0.424216792	0.596639176	0.850869819
14	0.127759694	0.770119382	0.373951341
15	0.122372476	0.123257776	0.908884303
16	0.243943326	1.334419619	0.122755317
18	0.750758805	0.417859261	2.038752374
19	0.895653306	1.383200855	2.244371619
20	0.976411687	1.385969349	0.659197381
21	0.097245406	0.153670064	0.133218506
22	0.991834932	0.489284618	0.168570399
23	0.423553365	0.774596954	0.061270915
24	0.094644755	0.155127423	0.065272271
25	0.477010752	1.37387706	1.478676374
26	0.002659789	0.309618911	0.13172375
27	0.358377713	0.557560845	0.405328419
28	0.885662564	1.573948163	0.774458722
29	0.493170805	0.837920201	0.829157839
30	0.638850899	0.960375012	1.357291285
31	0.312955937	0.14759694	1.487752279
32	0.413476505	1.479434503	1.947464379
33	0.335662645	0.16714368	0.057899334
34	0.457332007	0.371598829	0.971549875
35	0.848863285	1.955506533	1.219978044
36	0.217723803	0.069743888	0.069316448
37	0.08284798	0.764707482	0.061503558
38	0.200966789	0.899066743	0.606617134
39	0.035935099	0.423295721	0.21659355
40	0.735466825	0.471773152	2.32282281
41	0.846235712	1.64559732	0.561672743
43	0.456049245	0.458607945	1.787323038
47	0.421887174	0.473674465	1.500980705
48	0.088693235	0.139786391	0.281230647
50	0.73465395	3.98323818	2.832803221
51	0.894034692	0.593864208	0.767858858
52	0.651474852	2.264843124	1.300869154
53	0.350168923	0.546503081	0.052636744
54	1.054930962	1.297838499	0.656686735
55	0.091598428	0.381736328	0.016567779
56	1.211579415	0.83279731	0.920583054
58	0.072850376	0.978898139	1.050253399
59	0.423029539	0.350202126	1.187175215
60	0.239273083	1.082475475	1.271037885
69	0.042926284	0.669182358	0.666917995
70	0.186697905	0.122195549	0.685730194
71	0.509539082	1.359879535	1.298205076
72	0.018506623	0.542998494	0.217099142
81	0.036841445	1.280161266	0.621236849
86	0.318587433	0.804572838	0.921986835
87	0.76785652	1.385636725	1.76824793
88	1.352903377	0.945709136	1.181887863
89	0.561988525	0.660525678	0.342027492
90	0.257275472	0.05440942	0.7908678
91	0.873118736	2.007439016	1.354663871
92	0.351585764	1.749282559	0.52816023
93	0.250453985	0.538002563	0.139638158
94	0.032590839	1.223805362	0.171299188
95	0.527172642	0.463962682	1.161237783
97	0.436783355	0.124508946	0.036068608
98	0.848241368	1.452796441	1.466902944
100	0.078321329	0.73779858	0.239027941
101	1.409307409	1.141780483	0.679178325
102	0.250046011	0.693047802	0.326835168
103	0.558613312	0.223178566	0.061047425
104	1.096573766	1.486767333	0.701968563
105	0.014331917	0.459323175	2.132018616
107	0.714119253	1.788737174	0.922682803
108	0.240733098	1.066084865	1.943725943
109	0.475259966	0.712306678	0.698421917
112	0.520845122	0.087716928	0.4192046
113	0.909143066	0.976548173	0.726787112
114	0.355755575	1.149009639	0.359574755
115	0.319669833	1.056877326	0.879101049
116	0.022129302	0.103665413	0.73994949
117	1.122700088	0.12195886	1.457988449
118	0.506089583	0.875642214	0.827014594
119	0.408295323	0.717850381	0.931583541
120	0.716021472	2.61247688	1.826373976
123	0.154728805	0.072857607	0.276205917
124	0.492031439	0.117373365	0.141352865
125	0.494607337	0.538373389	0.495297903
126	0.222263051	0.522420602	1.934357629
128	0.238143054	0.653695299	1.59718914
130	0.354928805	0.668331967	0.798664602
131	0.067136344	0.008618889	0.217248688
132	0.932975784	0.680207773	1.989057517
133	0.027547751	0.052793325	0.249359859
134	0.307727601	0.63721534	0.264294238
135	0.205016708	0.066109075	0.406518823
136	0.9716252	2.100247546	1.917709972
140	0.363701376	0.22993822	0.307963438
141	0.385939821	0.64562707	0.016026441
142	0.029255474	0.062042968	0.515209336
143	0.011257414	0.170169526	0.089819162
146	0.744389738	0.525501868	0.633812119
147	0.580744325	1.264217163	0.456712416
148	1.361840223	0.808873743	0.736404662
150	0.038018491	0.402815388	1.590215407
151	0.415337564	0.155663251	0.085267993
152	0.649170196	0.399666287	0.935024143
153	0.12143242	0.222362501	0.063708803
154	0.070996816	0.039483129	0.943972914
155	0.522078743	0.795643318	0.346465114
